precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXANDRU IONUŢ-CIPRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MINA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PETCU TOMA-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CÂNDEA IOSIF-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUDURU CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COBZARU SILE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ”REMUS BEGNESCU” PIETRELE",73,BĂNEASA,101001,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:29:42",824,751,2,31,40,596,525,0,31,40,568,28,870,274,11,94,383,69,4,7
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SAVIN POPESCU",40,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:21:00",1388,1377,3,6,2,565,557,0,6,2,542,23,1522,957,35,159,241,62,33,12
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SAVIN POPESCU",41,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:37:06",1000,990,1,8,1,344,335,0,8,1,326,18,1094,750,17,105,144,36,16,8
19,GIURGIU,"ȘCOALA GIMNAZIALĂ SAVIN POPESCU",42,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:53",1195,1180,0,15,0,515,508,0,7,0,483,21,1209,705,19,148,212,67,24,13
19,GIURGIU,"ȘCOALA GIMNAZIALĂ SAVIN POPESCU",43,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:19:50",1052,1049,1,2,0,369,367,0,2,0,347,22,1153,784,12,119,156,35,18,7
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SFÂNTUL GHEORGHE",1,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:56",1255,1243,6,6,0,504,498,0,6,0,489,15,1299,795,34,129,230,54,33,9
19,GIURGIU,"ŞCOALA GIMNAZIALA ” SFANTUL NECTARIE” OGREZENI",180,OGREZENI,104485,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:07",980,939,0,22,19,685,644,0,22,19,664,21,1054,369,53,218,339,38,8,8
19,GIURGIU,"ŞCOALA GIMNAZIALĂ STOLNICUL CONSTANTIN CANTACUZINO - ISVOARELE",161,ISVOARELE,179766,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:07:20",1153,1007,1,132,13,853,708,0,132,13,838,15,1106,253,13,379,362,73,9,2
19,GIURGIU,"ŞCOALA GIMNZIALA NR. 1 GRADINARI",147,GRĂDINARI,103407,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:05",856,810,4,25,17,584,542,0,25,17,560,24,890,306,24,254,220,51,8,3
19,GIURGIU,"ŞCOALA HODIVOAIA",191,PUTINEIU,104715,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:49:58",349,306,0,40,3,278,235,0,40,3,264,9,329,51,0,149,91,13,5,6
19,GIURGIU,"ŞCOALA JAPCA",243,VEDEA,105909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:07:15",670,605,1,32,32,501,437,0,32,32,457,10,695,228,6,117,305,22,5,2
19,GIURGIU,"ŞCOALA PIMARĂ NR.5 BĂNEASA",70,BĂNEASA,101001,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:33",528,497,0,20,11,369,338,0,20,11,357,12,567,198,5,75,234,37,5,1
19,GIURGIU,"ŞCOALA PRIMARA FLORIN NICULESCU BILA",206,SCHITU,104975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:42:30",335,288,0,33,14,230,183,0,33,14,225,5,316,86,2,22,181,13,4,3
19,GIURGIU,"ŞCOALA PRIMARA , NR.1 CAMINEASCA",207,SCHITU,104975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:23:09",482,375,0,52,55,332,225,0,52,55,325,7,409,77,3,27,284,9,2,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR 1 DEALU",109,"CREVEDIA MARE",102348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:27:30",1112,1104,0,6,2,675,667,0,6,2,641,34,1207,532,236,111,252,32,8,2
19,GIURGIU,"ŞCOALA PRIMARA NR.1 HOBAIA",183,OGREZENI,104485,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:29",735,714,0,13,8,504,483,0,13,8,481,20,785,274,41,157,246,29,5,3
19,GIURGIU,"ŞCOALA PRIMARĂ NR.1 PRUNDU",188,PRUNDU,104680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:17:16",1037,1037,0,0,0,652,652,0,0,0,625,27,1138,486,4,47,504,57,10,3
19,GIURGIU,"ŞCOALA PRIMARĂ NR.1 PUIENI",189,PRUNDU,104680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:44:07",580,575,0,5,0,385,380,0,5,0,370,14,631,247,3,57,237,72,1,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR.2 BĂNEASA",71,BĂNEASA,101001,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:58",761,716,0,20,25,560,515,0,20,25,545,15,812,252,6,70,426,34,7,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR.2 CRÎNGURI",210,SINGURENI,105106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:26",620,566,2,21,31,488,435,1,21,31,462,17,622,137,3,234,195,28,0,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 2 GHIZDARU",216,STĂNEŞTI,105295,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:26:43",401,377,0,21,3,236,212,0,21,3,225,11,415,179,3,46,120,26,27,3
19,GIURGIU,"SCOALA PRIMARA NR.2 ICOANA",227,ULMI,105623,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:13:27",890,885,2,3,0,573,570,0,3,0,544,29,976,403,127,190,97,49,73,8
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 2 MIHĂILEŞTI-DRĂGĂNESCU",61,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:34:43",372,356,0,16,0,298,282,0,16,0,290,8,394,96,7,94,162,16,5,6
19,GIURGIU,"ŞCOALA PRIMARA NR. 2 SADINA",202,"ROATA DE JOS",104831,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:09:53",1254,1246,0,8,0,828,820,0,8,0,787,41,1246,418,22,161,469,107,18,10
19,GIURGIU,"ŞCOALA PRIMARA NR. 2 TOMULEŞTI",223,TOPORU,154709,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:44:11",510,423,0,28,59,371,284,0,28,59,371,0,533,162,0,11,356,4,0,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3",82,BUCŞANI,101378,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:06",484,446,0,38,0,376,338,0,38,0,369,7,487,111,10,164,175,13,4,3
19,GIURGIU,"ŞCOALA PRIMARA NR. 3 COLIBAŞI",97,COLIBAŞI,102071,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:44",691,646,1,17,27,539,495,0,17,27,522,17,740,201,4,93,401,17,5,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3 FRASINU",72,BĂNEASA,101001,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:38",328,305,0,9,14,213,190,0,9,14,205,8,349,136,2,43,137,17,3,3
19,GIURGIU,"ŞCOALA PRIMARĂ NR.3 MIRONEŞTI",144,GOSTINARI,103372,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:12:07",340,293,0,18,29,214,167,0,18,29,203,11,326,112,6,147,36,12,0,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3 NOVACI",62,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:47:24",926,885,0,39,2,701,660,0,39,2,701,0,965,264,11,291,361,20,6,12
19,GIURGIU,"ŞCOALA PRIMARĂ NR.3 OBEDENI",235,VĂRĂŞTI,105874,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:41:28",871,845,0,9,17,689,663,0,9,17,656,33,947,258,5,226,399,24,0,2
19,GIURGIU,"ȘCOALA PRIMARĂ NR. 3 SAT CĂRPENIȘU , COM GĂISENI",127,GĂISENI,103087,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:15:08",699,664,0,35,0,433,398,0,35,0,412,21,743,310,4,111,247,39,7,4
19,GIURGIU,"SCOALA PRIMARA NR.3 ULMI",224,ULMI,105623,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:45:51",591,579,0,9,3,591,579,0,9,3,569,22,1046,455,95,136,89,52,187,10
19,GIURGIU,"ŞCOALA PRIMARA NR. 3 ZORILE",149,GRĂDINARI,103407,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:43:41",902,860,0,22,20,603,561,0,22,20,595,8,943,340,64,250,231,39,9,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 4",83,BUCŞANI,101378,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:44",287,256,0,25,6,228,197,0,25,6,226,2,286,58,0,40,174,8,4,0
19,GIURGIU,"ŞCOALA PRIMARA NR.4 VALEA PLOPILOR",138,GHIMPAŢI,103238,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:17:42",575,556,1,1,17,379,361,0,1,17,344,35,609,230,5,5,329,5,0,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 5",80,BUCŞANI,101378,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:40:30",353,331,0,22,0,270,248,0,22,0,268,2,361,91,3,31,227,4,2,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR.5 POIANA LUI STÂNGĂ",241,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:50:07",586,575,0,9,2,415,404,0,9,2,408,7,635,220,25,71,283,19,5,5
19,GIURGIU,"ŞCOALA PRIMARĂ NR.6 CORBEANCA",238,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:42:16",404,390,0,13,1,309,295,0,13,1,293,14,432,123,22,47,205,13,5,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 6 SF. GHEORGHE",74,BĂNEASA,101001,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:14:50",233,201,0,28,4,180,148,0,28,4,172,8,222,42,1,34,129,4,4,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR.7 CUPELE",239,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:24",349,340,0,7,2,245,236,0,7,2,229,16,379,134,6,78,132,11,0,2
19,GIURGIU,"ŞCOALA PUŢU GRECI",151,GREACA,103470,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:45:55",238,219,0,8,11,187,168,0,8,11,177,8,260,75,8,102,34,25,6,2
19,GIURGIU,"ŞCOALA SCHITU",205,SCHITU,104975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:44",181,157,0,14,10,136,112,0,14,10,134,2,175,39,4,7,111,7,3,2
19,GIURGIU,"ŞCOALA STÂLPU",160,IEPUREŞTI,103693,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:44",247,210,0,31,6,218,181,0,31,6,202,16,235,16,1,73,116,10,2,0
19,GIURGIU,"ŞCOALA TEIUŞU",162,ISVOARELE,179766,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:51:01",192,162,0,29,1,148,118,0,29,1,139,9,179,31,4,92,29,9,1,4
19,GIURGIU,"ŞCOALA VECHE CĂLUGĂRENI( MUZEU ).",90,CĂLUGĂRENI,101662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:08:29",1411,1370,0,39,2,973,932,0,39,2,894,41,1556,621,19,204,570,74,14,13
19,GIURGIU,"ŞCOALA VIERU",192,PUTINEIU,104715,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:35:46",588,531,0,53,4,437,380,0,53,4,425,12,572,135,10,166,218,18,11,2
19,GIURGIU,"ŞCOALA ZBOIU",152,GREACA,103470,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:14",226,198,0,11,17,166,138,0,11,17,160,6,230,64,1,116,19,21,2,1
19,GIURGIU,"SEDIUL FOSTEI SECŢII DE MECANIZARE A SATULUI DIMITRIE CANTEMIR",165,IZVOARELE,103899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:31:32",146,102,0,30,14,98,54,0,30,14,95,3,127,29,1,5,85,2,1,1
19,GIURGIU,"SEMINARUL TEOLOGIC TEOCTIST PATRIARHUL",6,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:32",994,986,0,7,1,401,393,0,7,1,382,19,1088,687,14,107,185,46,21,9
